Year,Category,Athlete,ImageURL,alpha_3,Time,url,Nationality
1981,Men,Dick Beardsley (Tie),https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,USA,02:11:48,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/US-128.png,United States
1981,Men,Inge Simonsen (Tie),https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,NOR,02:11:48,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/NO-128.png,Norway
1982,Men,Hugh Jones,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:09:24,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1983,Men,Mike Gratton,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:09:43,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1984,Men,Charlie Spedding,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:09:57,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1985,Men,Steve Jones,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:08:16,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1986,Men,Toshihiko Seko,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,JPN,02:10:02,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/JP-128.png,Japan
1987,Men,Hiromi Taniguchi,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,JPN,02:09:50,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/JP-128.png,Japan
1988,Men,Henrik Jørgensen,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,DNK,02:10:20,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/DK-128.png,Denmark
1989,Men,Douglas Wakiihuri,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:09:03,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
1990,Men,Allister Hutton,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:10:10,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1991,Men,Yakov Tolstikov,NA,NA,02:09:17,NA,Soviet Union
1992,Men,António Pinto,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,PRT,02:10:02,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/PT-128.png,Portugal
1993,Men,Eamonn Martin,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:10:50,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1994,Men,Dionicio Cerón,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,MEX,02:08:53,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/MX-128.png,Mexico
